slug	title	component_file	internal_links_count	internal_links	broken_links
ai-agent-build-guide	AIエージェントの作り方｜仕組み・開発手順・活用パターンを解説 | AIリブート	components/academyLanding/blog/ai-agent-build-guide/AiAgentBuildGuidePage.tsx	4	/academy/blog/ai-coding-for-beginners /academy/blog/how-to-learn-generative-ai /academy/blog/what-is-ai-agent /academy/blog/what-is-rag	
ai-business-efficiency-cases	AI業務効率化事例集｜営業・マーケ・管理部門の活用ポイントを解説 | AIリブート	components/academyLanding/blog/ai-business-efficiency-cases/AiBusinessEfficiencyCasesPage.tsx	6	/academy/blog/ai-coding-for-beginners /academy/blog/corporate-ai-adoption-guide /academy/blog/corporate-ai-training /academy/blog/corporate-ai-training-internal /academy/blog/github-copilot-guide /academy/blog/prompt-template-for-work	
ai-career-change-cases	AI時代のキャリアチェンジ事例（構成例）｜転換と成長のパターンを解説 | AIリブート	components/academyLanding/blog/ai-career-change-cases/AiCareerChangeCasesPage.tsx	6	/academy/blog/ai-coding-for-beginners /academy/blog/ai-engineer-career-change /academy/blog/ai-school-for-working-adults /academy/blog/g-e-certification-comparison /academy/blog/reskilling-over-40 /academy/blog/skills-for-ai-era-career	
ai-certification-guide	AI資格おすすめ一覧｜難易度・費用・活かせる仕事を徹底比較【2026年版】 | AIリブート	components/academyLanding/blog/ai-certification-guide/AiCertificationGuidePage.tsx	2	/academy/blog/how-to-learn-generative-ai /academy/blog/skills-for-ai-era-career	
ai-coding-for-beginners	AIコーディング入門｜非エンジニアでも始められるコード生成AIの使い方 | AIリブート	components/academyLanding/blog/ai-coding-for-beginners/AiCodingForBeginnersPage.tsx	7	/academy/blog/ai-agent-build-guide /academy/blog/ai-career-change-cases /academy/blog/chatgpt-claude-beginners-guide /academy/blog/github-copilot-guide /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work /academy/blog/python-ai-intro	
ai-course-ranking	AI講座ランキング2026｜選び方の基準と目的別おすすめを解説 | AIリブート	components/academyLanding/blog/ai-course-ranking/AiCourseRankingPage.tsx	6	/academy/blog/ai-engineer-career-change /academy/blog/ai-school-for-working-adults /academy/blog/ai-side-business-guide /academy/blog/dx-reskilling-subsidy-guide /academy/blog/education-training-benefit-ai /academy/blog/how-to-learn-generative-ai	
ai-data-analysis-excel	AIでExcelデータ分析を効率化する方法｜関数・グラフ・レポート作成まで | AIリブート	components/academyLanding/blog/ai-data-analysis-excel/AiDataAnalysisExcelPage.tsx	2	/academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work	
ai-engineer-career-change	未経験からAIエンジニアへの転職ロードマップ｜学習手順と準備を解説 | AIリブート	components/academyLanding/blog/ai-engineer-career-change/AiEngineerCareerChangePage.tsx	6	/academy/blog/ai-career-change-cases /academy/blog/ai-coding-for-beginners /academy/blog/ai-course-ranking /academy/blog/ai-side-business-guide /academy/blog/reskilling-over-40 /academy/blog/skills-for-ai-era-career	
ai-for-non-engineers	文系・非エンジニアのAI活用ガイド｜不安を解消して学び始める方法 | AIリブート	components/academyLanding/blog/ai-for-non-engineers/AiForNonEngineersPage.tsx	6	/academy/blog/ai-coding-for-beginners /academy/blog/chatgpt-claude-beginners-guide /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work /academy/blog/python-ai-intro /academy/blog/what-is-generative-ai	
ai-hr-recruiting	AI × 人事・採用｜業務効率化から戦略的活用までの実践ガイド | AIリブート	components/academyLanding/blog/ai-hr-recruiting/AiHrRecruitingPage.tsx	4	/academy/blog/ai-business-efficiency-cases /academy/blog/corporate-ai-adoption-guide /academy/blog/prompt-template-for-work /academy/blog/skills-for-ai-era-career	
