priority	score_16	slug	title	chars	h2_count	h3_count	list_or_table_count	intro_first_100_chars	faq_count	has_faq_structured_data	has_end_summary	has_cta_section	image_count	missing_alt_count	publishedTime	modifiedTime	route_file	component_file	notes
P1	11	what-is-rag	RAG（検索拡張生成）とは？仕組み・メリット・活用事例をわかりやすく解説 | AIリブート	139650	104	320	160	RAGは、検索で根拠を取り出し、その情報を参照しながらLLMが回答を生成するアーキテクチャです。 この記事では、RAGの定義・仕組み・メリットと限界・活用事例・始め方まで、導入判断に必要なポイントを結	6	yes	no	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/what-is-rag/page.tsx	components/academyLanding/blog/what-is-rag/WhatIsRagPage.tsx	no-end-summary
P1	12	ai-business-efficiency-cases	AI業務効率化事例集｜営業・マーケ・管理部門の活用ポイントを解説 | AIリブート	41479	72	64	40	一般的には、営業・マーケティング・管理部門の定型業務でAI活用を始めると、改善前後を比較しやすくなります。 本記事では、部門別の一般的な活用パターンと、導入前の設計ポイント（目的/KPI/ルール）を結	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-business-efficiency-cases/page.tsx	components/academyLanding/blog/ai-business-efficiency-cases/AiBusinessEfficiencyCasesPage.tsx	
P1	12	ai-data-analysis-excel	AIでExcelデータ分析を効率化する方法｜関数・グラフ・レポート作成まで | AIリブート	50054	96	160	104	AIは「式の下書き」「整理手順の提案」「見せ方の候補」「文章要約」を高速化し、人は検算と意思決定に集中できます。 AIに下書きを任せ、あなたは検算と示唆づくりに集中すると、スピードと再現性が上がります	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-data-analysis-excel/page.tsx	components/academyLanding/blog/ai-data-analysis-excel/AiDataAnalysisExcelPage.tsx	
P1	12	ai-engineer-career-change	未経験からAIエンジニアへの転職ロードマップ｜学習手順と準備を解説 | AIリブート	54949	88	96	56	未経験転職は、基礎→実践→転職準備を切り分け、成果物を軸に応募へ接続すると成功確率が上がります。 本記事では、必要スキル、学習ロードマップ、学習手段の比較、評価されるポートフォリオの作り方までを結論先	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-engineer-career-change/page.tsx	components/academyLanding/blog/ai-engineer-career-change/AiEngineerCareerChangePage.tsx	
P1	12	ai-image-generation-guide	AI画像生成おすすめツール比較｜Google Gemini・Midjourney・ChatGPT画像生成の使い方と選び方【2026年版】 | AIリブート	76910	104	80	88	まずは目的（何の素材を作るか）を決めると、ツール選びとプロンプトがブレにくくなります。 この記事では、Gemini/Midjourney/ChatGPT/Stable Diffusion/Firefl	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-image-generation-guide/page.tsx	components/academyLanding/blog/ai-image-generation-guide/AiImageGenerationGuidePage.tsx	
P1	12	chatgpt-start-guide-smartphone	ChatGPTをスマホで始める方法｜iPhone・Android対応の初期設定ガイド | AIリブート	50168	88	128	40	iPhone/Androidともに、アプリストアで公式アプリを選び、アカウント作成（またはログイン）→初期設定の順で始めます。 この記事では、iPhone/Android別に「インストール→ログイン→	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/chatgpt-start-guide-smartphone/page.tsx	components/academyLanding/blog/chatgpt-start-guide-smartphone/ChatgptStartGuideSmartphonePage.tsx	
P1	12	corporate-ai-adoption-guide	中小企業の生成AI導入ガイド｜失敗しない進め方と費用感 | AIリブート	42809	88	64	80	成果が出る企業は「業務を1つに絞る小規模PoC」から始めています。 この記事では、導入の順番（5段階ロードマップ）と、費用感・部門別活用・失敗回避の要点を結論先出しで整理します。 生成AIとは、「ツー	5	yes	yes	yes	0	0	2026-02-16T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/corporate-ai-adoption-guide/page.tsx	components/academyLanding/blog/corporate-ai-adoption-guide/CorporateAiAdoptionGuidePage.tsx	
P1	12	corporate-ai-training	法人向けAI研修サービス｜社内定着・研修設計・導入相談 | AIリブート	42033	88	128	72	成果が出る法人研修は、受講前に「対象者レベル分け」「業務KPI」「研修後フォロー」をセットで設計します。 本記事では、研修形式の選び方、KPI設計、フォロー体制、比較検討時の視点を結論先出しで整理しま	5	yes	yes	yes	0	0	2026-02-16T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/corporate-ai-training/page.tsx	components/academyLanding/blog/corporate-ai-training/CorporateAiTrainingPage.tsx	
P1	12	corporate-ai-training-internal	社内AI研修の始め方と定着の進め方｜DX人材を育てる実務ガイド | AIリブート	40251	80	96	64	社内AI研修で成果を出すには、研修そのものより「目的設定」「対象者設計」「研修後運用」の3点を一体で設計することが重要です。 本記事では、社内AI研修を立ち上げて定着させるための手順（目的→対象→プロ	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/corporate-ai-training-internal/page.tsx	components/academyLanding/blog/corporate-ai-training-internal/CorporateAiTrainingInternalPage.tsx	
P1	12	education-training-benefit-ai	教育訓練給付金でAI講座を受講するガイド｜制度比較と費用の考え方 | AIリブート	51317	64	64	48	AI講座の費用で迷っているなら、価格の安さだけでなく「制度活用後の実質負担」で判断すると後悔しにくくなります。 この記事では、教育訓練給付金の区分（一般/特定一般/専門実践）の違い、リスキリング補助金	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/education-training-benefit-ai/page.tsx	components/academyLanding/blog/education-training-benefit-ai/EducationTrainingBenefitAiPage.tsx	
